risk_id,category,risk_statement,evidence,affected_groups,likelihood,impact,overall_risk,recommended_control,residual_risk,owner,status
R01,Fairness - disparate impact (sex),"If used for a consequential decision about individuals, the model would select women into the above-50K class at roughly one third the rate of men, producing adverse impact by sex. This is an observed output disparity and is not a finding of unlawful discrimination.","Phase 2 fairness_metrics_by_group.csv: XGBoost selection rate 0.0827 (Female) vs 0.2623 (Male); disparate impact ratio 0.315; demographic parity difference -18.0pp; equal opportunity difference -10.3pp. Same direction in all three models (DI 0.299 / 0.307 / 0.315), so it is a property of the data and task rather than one algorithm.","Female (n=3289 of 9769 test records)",High,High,Critical,"Block real-world deployment. For research use, never publish an aggregate metric without the disaggregated table beside it. Before any deployment: select and document one fairness criterion; sweep the decision threshold and publish the fairness/accuracy frontier; then evaluate mitigations (reweighing, threshold optimisation, constrained training) and re-audit after each.","Medium - mitigation can reduce the measured gap but cannot remove disparity rooted in the label (R03), and per R11 closing this gap will worsen another metric.",Governance Lead,Open - blocking for deployment
R02,Fairness - disparate impact (race),"If used for a consequential decision, the model would select three of the four non-reference race groups at below 80 percent of the reference group rate. The pattern is not a simple majority/minority ordering, which makes a single blanket mitigation unlikely to work.","Phase 2 fairness_metrics_by_group.csv: XGBoost disparate impact ratio vs White - Black 0.428, Amer-Indian-Eskimo 0.402, Other 0.471, Asian-Pac-Islander 1.069 (above parity). Worst equal opportunity difference -12.8pp (Other). Three groups below the four-fifths screening threshold in all three models.","Black (n=944), Amer-Indian-Eskimo (n=104), Other (n=69)",High,High,Critical,"Block real-world deployment. Treat each race group separately rather than as one aggregated minority category, since Asian-Pac-Islander shows the opposite direction. Require bootstrap confidence intervals per group and a minimum-sample rule before any group-level claim or mitigation.","High - the two worst-affected groups are also the smallest (R06), so mitigation cannot be verified to work on them with the data available.",Governance Lead,Open - blocking for deployment
R03,Data - historical label bias,"The target records who was paid above 50K in the 1994 US labour market, including that era's inequality. A model that learns this label faithfully inherits those gaps, so high accuracy means fidelity to an unequal historical world rather than fairness in it. No modelling change can correct the label.","Phase 1 / Phase 2: observed base rates in the test set differ by group - 30.4 percent (Male) vs 11.2 percent (Female); 25.4 percent (White) vs 12.8 percent (Black), 8.7 percent (Amer-Indian-Eskimo), 15.9 percent (Other). Dataset is a 1994 US Census extract (data/raw/adult_metadata.txt). Roughly a third of the measured selection-rate gap tracks the label base rate rather than model behaviour.","All groups; disproportionately Female, Black, Amer-Indian-Eskimo, Other",High,High,Critical,"Do not use this target for any present-day inference. Any deployment must retrain on contemporary jurisdiction-appropriate data with a documented present-day target definition and threshold. Record label provenance and known label-generation bias in the model registry. Never cite model output as a finding about a group.","High - unmitigable within this dataset. Reducible only by replacing the data and target, which is out of scope for this project.",Data Steward,Open - accepted (research only)
R04,Fairness - proxy discrimination,"The protected attributes rank near the bottom of global feature importance while substantial group disparities exist, because correlated features carry the same information. A reviewer could therefore wrongly conclude the model is fair from the feature ranking alone, and removing sex and race would not be a mitigation.","Phase 3 global_feature_importance.csv: sex ranks 10/14 (delta ROC-AUC 0.0018) and race 11/14 (0.0011), while Phase 2 measured DI ratio 0.315 by sex. marital-status (#1, 0.0680), hours-per-week (#6), occupation (#7) and relationship (#8) all outrank both protected attributes. relationship is sex-coded by construction - its categories include Husband and Wife. education ranks 14/14 with a slightly negative score because it duplicates education-num (#4), demonstrating correlated-feature dilution directly.","Female; Black; Amer-Indian-Eskimo; Other",High,High,Critical,"Prohibit fairness-through-unawareness as a mitigation and record why in the design decision log. Retain sex and race as audited inputs so disparity remains measurable. Test proxy strength explicitly (predict each protected attribute from the remaining features). Require disaggregated outcome testing (Phase 2) as the fairness gate - never a feature list or importance ranking.","Medium - proxy strength can be measured and documented, but proxies cannot be removed without destroying model utility, since marital-status is the single most predictive feature.",Governance Lead,Open - blocking for deployment
R05,Performance - false negatives for true high earners,"At the 0.5 threshold the model misses about one in three people who genuinely earned above 50K, and the miss rate is higher for women and for most non-reference race groups. In any application where a false negative denies a benefit, that harm would fall disproportionately on those groups.","Phase 1 model_metrics.csv: 778 false negatives vs 412 false positives (1.9x asymmetry); recall 0.6672, so 33.3 percent of 2338 true positives are missed. Phase 2 group TPRs imply miss rates of 31.7 percent (Male) vs 42.0 percent (Female); 32.6 percent (White), 42.1 percent (Black), 44.4 percent (Amer-Indian-Eskimo), 45.5 percent (Other).","True high earners overall (778 records); disproportionately Female, Black, Amer-Indian-Eskimo, Other",High,Medium,High,"Set the threshold from an explicit cost model for each error type instead of inheriting 0.5 (see R07). Report recall per group as a primary metric, not accuracy. Provide a human-review route for negative decisions and a contestation pathway before any deployment.","Medium - threshold and cost-sensitive training can shift the error balance, but every reduction in false negatives raises false positives; the trade-off can be chosen, not eliminated.",ML Lead,Open - blocking for deployment
R06,Measurement - small demographic sample sizes,"Two race groups are too small for reliable group-level metrics, so a real disparity affecting them could be missed, and an apparent disparity could be sampling noise. Point estimates for these groups may be mistaken for reliable findings.","Phase 2 fairness_metrics_by_group.csv: Amer-Indian-Eskimo n=104 with only 9 actual positives (TPR 95 percent Wilson interval plus/minus 28.9pp); Other n=69 with 11 actual positives (plus/minus 26.5pp). Both flagged small_group_flag=True. Their TPR ordering is not distinguishable from noise.","Amer-Indian-Eskimo (n=104), Other (n=69); any group below 200 records",High,Medium,High,"Enforce a minimum-sample rule: suppress point estimates below n=200 and report an interval instead. Publish Wilson or bootstrap intervals with every group metric (implemented in Phase 2). Aggregate over longer windows for rare groups in any monitoring. Never rank small groups on point estimates.","Medium - intervals make the uncertainty visible and prevent overclaiming, but they cannot create statistical power. Only more data resolves this.",Fairness Reviewer,Open - control implemented (research scope)
R07,Design - threshold selection,"Every reported rate and every fairness gap is measured at the default 0.5 cut-off, which was not chosen for fairness, accuracy or cost. A different threshold would change all of them, so an unexamined default is silently making the policy decision.","Phase 1 and Phase 2: all selection rates, TPR, FPR, precision, recall, F1 and all disparity metrics computed at threshold 0.5. Only ROC-AUC (0.9299) is threshold-free. Phase 2 section 5.4 documents the dependence. Phase 3 shows a held-out case at predicted probability 0.4999 - a hair from flipping class.","All groups; borderline-probability individuals most of all",High,Medium,High,"Treat threshold choice as a documented governance decision with a named owner, not a default. Sweep the threshold and publish the fairness/accuracy frontier. Derive the operating point from the real cost of each error type. If per-group thresholds are considered, record that they are themselves legally and ethically contested.","Medium - an explicit, documented threshold removes the hidden decision but not the trade-off it encodes.",ML Lead,Open - blocking for deployment
R08,Operational - dataset drift and deployment mismatch,"The model encodes a 1994 US wage distribution and a 1994 nominal 50K threshold. Applied to any present-day population it would be systematically miscalibrated, and its errors would not be detectable without labelled outcomes. The mismatch is certain, not merely possible.","data/raw/adult_metadata.txt: 1994 US Census extract. 50K in 1994 is roughly 105K-110K in 2026 terms, so the decision boundary does not correspond to any current income concept. Occupational structure, wage distribution and category definitions (five fixed race values, binary sex) have all changed. No drift monitoring or calibration analysis exists (Phase 3 limitations).","Any present-day population the model is applied to",High,High,Critical,"Prohibit use on any non-1994 population. Any deployment requires retraining on contemporary data plus the pre-deployment gates in model_card.md section 11. Implement input drift (PSI per feature), prediction drift, per-group performance and calibration monitoring with defined trigger thresholds before go-live, and re-audit Phases 2-4 on live data rather than the original test set.","Medium - monitoring detects drift after the fact; only retraining on current data addresses the root mismatch. For this artefact the risk is avoided entirely by not deploying it.",Deployment Owner (unassigned - no deployment),Open - blocking for deployment
R09,Governance - explainability misuse and over-interpretation,"Explainability outputs could be read as causal evidence or as proof of fairness. Importance rankings and SHAP values describe how a fitted function responds to inputs on one dataset; they identify no causal effect, and a low importance score does not mean a feature is unused.","Phase 3: sex at rank 10/14 could be misread as evidence of fairness, which Phase 2 contradicts (DI ratio 0.315). education ranks 14/14 with a negative score yet its signal is fully in use via education-num (#4). Permutation importance is diluted by correlated features and scores the model partly off-manifold (shuffling creates impossible records such as relationship=Wife with sex=Male). Five local cases are illustrative only. In the audited false-negative case relationship=Wife pushed +0.58 toward above-50K, so even the direction of a sex-coded feature is not uniform.","Reviewers, decision-makers and any downstream consumer of the audit",Medium,High,High,"Require every explainability artefact to carry its does-not-prove section (implemented in Phase 3 section 2.1). Never accept an importance ranking as a fairness gate - require disaggregated outcome testing. State that importances are lower bounds under feature correlation. Add grouped permutation and interaction analysis before relying on rankings for any decision.","Low - the interpretation limits are documented in the artefacts themselves, which is the main available control. Residual exposure is that a reader ignores them.",Fairness Reviewer,Open - control implemented (research scope)
R10,Privacy - sensitive attribute handling,"The pipeline processes protected attributes and publishes row-level feature values for individual held-out records in the local explanations, so per-record outputs could in principle be linked back to source records. Sensitive-attribute retention also expands the consequences of any future data handling failure.","Phase 1 predictions/*.csv retain sex and race for every one of 9769 test records. Phase 3 local_explanations.csv publishes all 14 feature values for 5 individual records including sex and race. Mitigations applied: the dataset row index is deliberately withheld and only a synthetic case_id is published; source data is a public academic 1994 extract with no direct identifiers.","Individuals in the 5 published local cases; all 9769 test subjects in aggregate",Medium,Medium,Medium,"Keep the current minimisation: synthetic case ids, no row indices, smallest number of records needed for the demonstration. Retain sex and race only for audit purposes and document that purpose. Before any real-data use: formal privacy review or DPIA, access controls on prediction files, retention limits, and a re-identification risk assessment - which a public 1994 benchmark does not require but live data would.","Low - for this public academic dataset. Would rise to High on live personal data without the controls above.",Privacy Officer / Data Steward,Open - control implemented (research scope)
